0:  zero-function
1810:  -024-033-140-561-474
1812:  -133-124-050-461-574
1814:  -010-241-031-161-574
1816:  -014-024-453-262-364-783
1818:  -034-031-142-254-673
1820:  -131-244-134-062-572
1822:  -011-341-010-360-254-783
1824:  -031-234-010-562-470
1826:  -024-342-152-062-574
1828:  -010-241-023-161-371-584
1830:  -010-241-054-361-171-584
1832:  -230-124-050-364-473
1834:  -012-234-450-054-273-681
1836:  -134-042-154-461-254-782
1838:  -134-042-154-461-252-782
1840:  -021-234-140-562
1842:  -120-341-154-062-271-584
1844:  -010-241-131-564
1846:  -133-042-251-164-474
1848:  -010-344-120-561-274
1850:  -034-243-234-163-571
1852:  -131-244-010-360-572
1854:  -134-042-251-131-674
1856:  -034-142-354-234-670
1858:  -013-031-254-241-174-682
1860:  -124-342-010-154-673
1862:  -031-144-014-561-240-782
1864:  -024-140-354-252-672
1866:  -034-142-254-031-274-683
1868:  -134-244-351-264-052-782
1870:  -034-031-142-250-564-783
1872:  -121-040-234-563
1874:  -031-244-010-562
1876:  -121-132-251-040-364-783
1878:  -033-122-054-461-274
1880:  -134-042-251-031-674
1882:  -130-040-251-031-674
1884:  -134-234-053-243-671
1886:  -034-122-354-461-274
1888:  -121-014-452-234-673
1890:  -021-140-230-561-031-784
1892:  -010-241-131-031-570-684
1894:  -230-033-151-064-473
1896:  -010-014-344-264-252-782
1898:  -234-044-253-014-470-681
1900:  -234-144-253-014-470-681
1902:  -124-044-010-261-351-784
1904:  -010-234-453
1906:  -032-241-354-010-672
1908:  -132-234-451-010-672
1910:  -011-343-234-010-561-783
1912:  -010-234-454-230-672
1914:  -034-243-234-010-672-581
1916:  -024-234-142-562-122-784
1918:  -231-014-230-044-571-683
1920:  -010-244-234-563
1922:  -012-341-054-461-254-780
1924:  -010-244-013-344-671-583
1926:  -010-014-034-561-244-782
1928:  -010-242-352-464
1930:  -230-234-041-153-672-384
1932:  -010-342-242-132-571-683
1934:  -010-014-034-561-242-782
1936:  -034-243-151-464-234-783
1938:  -034-014-142-351-261-784
1940:  -134-043-351-042-264-783
1942:  -022-014-342-561-274
1944:  -021-014-452-250-364-783
1946:  -033-234-150-461-024-784
1948:  -134-234-044-562-243-781
1950:  -010-014-241-351-674
1952:  -121-040-234-254-672
1954:  -024-341-140-254-673
1956:  -034-234-142-564-242-782
1958:  -024-342-122-561-074
1960:  -121-230-051-460-374
1962:  -010-241-054-361-574
1964:  -234-043-121-563-374
1966:  -034-244-142-261-351-784
1968:  -034-234-142-562
1970:  -024-343-140-234-571-683
1972:  -122-342-013-561-274
1974:  -134-043-351-042-271-684
1976:  -132-242-010-561-374
1978:  -034-243-234-561-142-782
1980:  -234-040-354-162-474
1982:  -133-013-042-351-261-784
1984:  -013-234-342-164-570
1986:  -132-244-014-134-671-583
1988:  -010-344-253-132-674
1990:  -022-124-352-461-174
1992:  -021-140-123-354-673
1994:  -021-234-153-462-374
1996:  -022-342-152-233-674
1998:  -134-022-451-124-370-684
2000:  -124-040-234-563
2002:  -022-012-342-561-274
2004:  -124-343-251-364-040-782
2006:  -012-341-054-162-271-584
2008:  -032-242-010-561-374
2010:  -234-140-354-062-474
